"","TCGA-3X-AAV9-01A","TCGA-4G-AAZT-01A","TCGA-W5-AA2G-01A","TCGA-W5-AA2O-01A","TCGA-W5-AA30-01A","TCGA-W5-AA33-01A","TCGA-W6-AA0S-01A","TCGA-ZH-A8Y2-01A","TCGA-ZH-A8Y6-01A","TCGA-ZU-A8S4-01A","TCGA-W5-AA2I-11A","TCGA-W5-AA2Q-11A","TCGA-W5-AA2R-11A","TCGA-W5-AA2U-11A","TCGA-W5-AA2X-11A","TCGA-W5-AA30-11A","TCGA-W5-AA31-11A","TCGA-W5-AA34-11A","TCGA-ZU-A8S4-11A"
"ENSG00000006704.11","1369","811","1253","427","2248","878","997","1999","115","1143","311","130","117","151","307","157","229","185","107"
"ENSG00000006712.15","2541","6112","2910","2276","2756","4117","6887","3011","3764","2462","1392","1129","1863","2156","1485","1889","2127","1678","1749"
"ENSG00000006715.16","3053","3387","3669","4641","4251","4805","4834","5453","4686","1660","1136","693","911","734","1198","968","1258","1371","1010"
"ENSG00000006740.17","370","270","153","132","1287","1087","173","112","1426","227","38","71","49","55","66","109","55","47","43"
"ENSG00000006744.19","2098","3449","4059","2899","4096","3885","2217","4073","5429","4428","1896","1260","1693","1310","1717","1664","1829","2588","1717"
"ENSG00000006747.15","302","21","28","30","89","40","91","181","532","285","4","0","4","19","16","5","6","1","5"
"ENSG00000006756.16","2505","3905","6471","2355","1767","2026","4798","2654","5597","1772","1755","1302","3051","3519","1537","1931","2725","4213","2034"
"ENSG00000006757.12","569","727","2839","1178","407","656","2208","667","2218","196","728","400","1085","1108","544","538","707","1455","689"
"ENSG00000006788.14","4","0","0","0","1","4","4","0","1","4","0","0","2","0","1","1","0","0","0"
"ENSG00000006831.10","3531","2015","4677","5194","3603","4239","4153","2867","10153","3098","6232","2975","8372","4122","4837","4421","5975","9427","4233"
"ENSG00000006837.12","18","20","8","34","45","32","18","28","9","33","7","3","4","2","6","3","3","6","2"
"ENSG00000007001.13","3","26","30","60","39","19","12","12","22","12","1170","18","22","97","165","24","474","297","1321"
"ENSG00000007038.11","33","498","0","4","539","653","8","918","2","120","1","9","8","1","4","6","3","5","6"
