"","TCGA-2H-A9GJ-01A","TCGA-IG-A5B8-01A","TCGA-JY-A6FB-01A","TCGA-KH-A6WC-01A","TCGA-L5-A4OG-01A","TCGA-L5-A4OH-01A","TCGA-L5-A4OM-01A","TCGA-L5-A88S-01A","TCGA-L5-A893-01A","TCGA-V5-A7RE-01A","TCGA-IC-A6RE-11A","TCGA-IC-A6RF-11A","TCGA-L5-A43C-11A","TCGA-L5-A4OF-11A","TCGA-L5-A4OG-11A","TCGA-L5-A4OJ-11A","TCGA-L5-A4OO-11A","TCGA-L5-A4OQ-11A","TCGA-L5-A4OR-11A","TCGA-V5-A7RE-11A","TCGA-V5-AASX-11A"
"ENSG00000278381.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000278382.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0"
"ENSG00000278383.1","24","9","26","16","45","46","32","25","28","27","10","19","12","20","27","38","14","43","11","62","65"
"ENSG00000278385.1","201","39","73","12","58","114","52","16","44","65","10","17","36","22","65","41","17","12","29","150","165"
"ENSG00000278388.1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","1","0","0","0"
"ENSG00000278389.1","21","31","9","17","9","27","38","4","9","8","23","6","4","2","8","3","5","9","1","11","8"
"ENSG00000278390.5","18","17","38","34","86","68","76","7","74","12","13","9","21","35","49","60","41","44","38","64","90"
"ENSG00000278391.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000278395.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000278396.1","15","42","31","84","12","11","14","16","27","15","54","19","13","24","35","43","12","25","35","18","28"
"ENSG00000278399.1","18","4","20","0","6","4","10","0","10","18","0","0","0","3","0","3","0","1","0","26","12"
"ENSG00000278400.1","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000278404.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000278406.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000278408.1","4","0","0","25","0","3","1","1","1","0","17","0","9","21","18","11","8","0","8","0","2"
"ENSG00000278410.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"ENSG00000278412.1","0","0","2","1","0","1","2","0","0","0","0","0","0","1","1","0","0","1","0","2","1"
"ENSG00000278413.1","1","3","1","1","5","10","8","0","4","8","3","3","1","5","1","3","3","4","0","8","4"
"ENSG00000278416.1","0","0","4","8","22","6","43","2","0","1","0","1","5","1","7","5","5","18","3","1","0"
"ENSG00000278418.1","3","3","4","1","7","9","6","3","0","2","8","4","1","2","2","7","4","4","1","6","4"
"ENSG00000278419.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000278420.1","4","1","2","0","6","10","11","1","4","1","2","3","3","0","3","1","3","4","3","4","0"
"ENSG00000278421.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000278422.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000278424.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"ENSG00000278428.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","3","0"
"ENSG00000278431.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000278433.1","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0"
"ENSG00000278434.1","13","19","1","17","11","4","31","13","6","4","5","9","15","17","15","25","34","30","13","62","6"
"ENSG00000278438.1","0","1","0","2","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1"
"ENSG00000278441.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","1"
"ENSG00000278445.1","4","1","0","2","0","4","0","0","4","0","0","0","2","1","2","0","0","0","0","41","1"
"ENSG00000278446.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","13","0"
"ENSG00000278447.1","0","0","0","1","0","3","1","0","0","0","0","0","0","0","0","0","0","1","0","1","2"
"ENSG00000278449.1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000278454.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000278455.1","0","0","1","0","3","1","1","0","2","1","0","1","2","1","0","3","1","4","0","62","1"
"ENSG00000278456.1","2","26","1","24","78","17","14","3","8","0","11","4","1","6","7","0","9","25","1","10","8"
"ENSG00000278459.1","0","0","0","0","0","7","0","0","0","1","0","0","0","0","0","0","1","0","0","6","0"
"ENSG00000278462.1","1","1","3","2","14","8","4","1","2","2","0","0","0","4","12","7","6","3","0","11","2"
"ENSG00000278463.2","0","1","3","0","7","2","6","0","10","14","0","2","0","0","0","0","0","0","0","3","1"
"ENSG00000278464.2","0","4","1","1","3","43","8","247","3","6","1","4","0","4","5","7","4","119","1","8","1"
"ENSG00000278465.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
