"","TCGA-2H-A9GJ-01A","TCGA-IG-A5B8-01A","TCGA-JY-A6FB-01A","TCGA-KH-A6WC-01A","TCGA-L5-A4OG-01A","TCGA-L5-A4OH-01A","TCGA-L5-A4OM-01A","TCGA-L5-A88S-01A","TCGA-L5-A893-01A","TCGA-V5-A7RE-01A","TCGA-IC-A6RE-11A","TCGA-IC-A6RF-11A","TCGA-L5-A43C-11A","TCGA-L5-A4OF-11A","TCGA-L5-A4OG-11A","TCGA-L5-A4OJ-11A","TCGA-L5-A4OO-11A","TCGA-L5-A4OQ-11A","TCGA-L5-A4OR-11A","TCGA-V5-A7RE-11A","TCGA-V5-AASX-11A"
"ENSG00000008256.16","2193","1815","3650","1933","3536","5033","3088","2972","2196","2095","1673","1131","826","1372","1978","1382","3315","8030","748","2045","4832"
"ENSG00000008277.14","290","12","494","83","135","926","1949","127","443","529","93","117","70","129","482","341","374","1261","59","400","896"
"ENSG00000008282.9","7386","16143","11412","19014","17692","19586","25978","5796","13040","12805","12626","16214","3843","5618","6077","5974","5190","9651","4442","6035","8202"
"ENSG00000008283.16","12613","6403","11911","5291","12007","7258","3986","2528","5892","24597","3889","4474","4359","3314","5766","4080","2317","1989","3158","4958","20804"
"ENSG00000008294.21","12408","10345","12149","6135","17655","15170","14267","7215","8205","7445","5280","5728","2425","4371","5462","3975","7221","18383","2235","4642","6486"
"ENSG00000008300.17","2292","293","4484","173","5979","12559","685","988","6497","9491","147","3250","136","228","364","325","284","234","163","3817","6085"
"ENSG00000008311.15","742","437","1262","1157","762","2368","2846","722","782","400","597","541","774","924","1272","1627","2415","6168","503","836","533"
"ENSG00000008323.15","4590","81","4035","8490","6540","13209","3460","167","7127","5576","6973","1700","477","1025","1027","944","470","81","693","4661","6540"
"ENSG00000008324.12","1173","743","676","576","900","1062","591","383","960","1714","311","531","308","510","504","425","359","546","417","750","782"
"ENSG00000008382.16","437","342","641","604","569","578","403","361","816","542","476","238","361","271","465","414","322","369","404","592","970"
"ENSG00000008394.13","9798","6160","9844","12331","10825","18332","7815","1136","6979","20038","9664","14578","2310","4155","4056","4530","1506","4903","3946","5739","6506"
"ENSG00000008405.12","3034","747","2434","910","2697","1847","1478","1461","1765","1438","894","490","831","1593","2101","1161","2029","4300","991","854","1088"
"ENSG00000008438.5","10","4","12","6","8","14","44","2","17","6","5","5","5","5","9","4","1","24","3","29","7"
"ENSG00000008441.18","1488","6802","13490","19636","12825","13851","22797","9725","16549","13029","13728","5693","9393","6892","13904","13358","18740","40772","7360","7361","22120"
"ENSG00000008513.16","3867","3172","4159","7758","8223","17200","6105","2632","3962","33663","3977","2153","5591","6786","5929","8613","5244","11102","6213","7061","5525"
"ENSG00000008516.17","54","365","64","102","730","126","369","80","211","75","56","36","53","34","121","53","28","140","23","338","54"
"ENSG00000008517.18","408","7666","6123","420","15022","15414","1714","3621","7960","6825","453","205","344","517","890","404","345","1444","600","13213","3290"
"ENSG00000008710.20","4028","5394","4945","4821","8056","6420","19088","16634","6693","4904","4785","7464","2148","4067","5665","5597","25066","61236","1751","4324","6187"
"ENSG00000008735.14","638","646","255","561","2443","890","476","1359","574","296","210","232","159","118","221","200","440","237","104","252","127"
"ENSG00000008838.20","11587","3277","50733","5875","7171","6999","8568","3558","8949","24560","3983","4598","1827","3673","3093","3434","2706","5560","2186","7138","10112"
"ENSG00000008853.17","1564","584","1513","199","1021","946","1191","1098","1097","774","205","582","704","1035","940","1056","1338","3748","658","775","1242"
"ENSG00000008869.12","4617","1867","3552","3971","4954","4318","5934","1470","3989","2217","2691","2255","1653","2575","3567","2985","1909","3685","1805","3327","5391"
"ENSG00000008952.17","18750","16340","11873","4992","17699","9096","12468","31573","8103","11554","2306","4392","18022","10977","19573","19512","17506","21707","14658","9842","21440"
"ENSG00000008988.11","36595","50212","25992","30308","50840","20843","29500","35493","47911","86108","30707","34049","19859","14711","18721","21381","25156","38414","16711","46651","34879"
"ENSG00000009307.16","64949","21150","31025","34445","61799","31360","52516","25161","37984","36330","22814","26633","18682","19377","24590","25380","43056","87334","16373","41729","29579"
"ENSG00000009335.18","17554","6690","16415","7087","15357","27369","6812","4880","10794","13824","4797","8004","2462","5407","4836","4891","5643","12038","3023","6947","7972"
"ENSG00000009413.16","3488","1198","2522","1772","3585","4223","5915","3185","4589","2841","966","2137","1158","1947","3636","2294","4037","13976","1201","3759","5119"
"ENSG00000009694.13","5750","21","6","24","19","54","923","201","87","647","33","5","49","26","169","97","596","2059","34","70","19"
"ENSG00000009709.12","0","5","0","27","0","0","18","139","3","0","38","0","0","4","2","1","1","1","2","30","0"
"ENSG00000009724.17","119","31","51","113","84","226","540","65","274","96","36","105","140","148","218","250","234","345","57","350","174"
"ENSG00000009765.15","2469","12","1223","24","4259","4320","20","7","1369","857","5","23","663","193","858","443","417","2","206","5305","14971"
"ENSG00000009780.16","863","1274","1091","628","812","1191","1047","527","1163","858","288","390","370","506","686","568","675","1171","403","662","1082"
"ENSG00000009790.15","50","590","90","122","539","126","1953","248","579","55","250","172","116","93","296","228","57","64","129","298","52"
"ENSG00000009830.12","1196","899","1470","868","1177","1975","3085","1100","1711","1895","629","706","546","845","742","871","728","1901","510","582","1549"
"ENSG00000009844.16","5610","6884","4872","5050","8660","5079","5352","2226","4936","5029","2620","2899","940","1844","1650","1551","1091","2812","1128","5160","4595"
"ENSG00000009950.16","816","201","2154","14","1414","9441","435","10","148","1145","21","211","78","70","140","264","139","437","33","324","928"
"ENSG00000009954.11","8248","5336","11763","4551","16152","20588","14840","6642","10235","9678","3151","4088","3191","4621","4704","5109","5513","12277","3367","5060","5267"
"ENSG00000010017.13","1577","2829","3054","24710","4686","5006","6327","2749","5664","3424","16322","4889","1082","1724","1865","1826","2703","11374","1267","2283","4705"
"ENSG00000010030.14","996","2683","260","515","1262","1635","197","88","1056","1140","117","234","104","85","207","113","104","106","108","2487","365"
"ENSG00000010072.16","1414","986","1226","745","1584","2883","2311","402","715","1475","443","702","308","459","484","520","511","1054","332","769","1101"
"ENSG00000010165.20","4259","1717","3447","1250","2758","4516","2543","1140","2244","4432","939","1140","679","1081","1197","1114","781","1823","632","2008","3825"
"ENSG00000010219.13","474","375","821","346","732","632","531","632","523","1105","346","469","277","256","450","443","400","970","290","683","914"
"ENSG00000010244.19","15437","11311","14041","13098","17917","20897","17363","5661","10952","19773","7268","7344","2905","5770","6984","5979","5263","10370","3552","9197","11239"
"ENSG00000010256.11","13090","18208","11585","9062","13247","13034","7303","6434","17171","17364","6910","12094","8003","14384","12285","14140","7105","8308","12948","11777","16193"
"ENSG00000010270.14","1225","1565","1719","491","2295","2868","737","1068","1111","1881","331","320","444","754","883","844","1124","2517","633","776","1894"
"ENSG00000010278.15","14409","29756","20544","49749","30645","19994","31687","9229","17072","29779","35574","38931","946","3010","3381","4817","8613","23105","1626","12296","19847"
"ENSG00000010282.15","0","19","0","0","0","0","4","1","1","0","2","0","0","2","3","0","2","10","0","5","0"
"ENSG00000010292.13","13991","6046","17873","5363","16148","12517","27832","6761","10563","27322","4004","2700","1270","3877","2889","5803","2300","5038","1448","11076","13275"
"ENSG00000010295.20","136","107","332","174","509","206","182","610","385","167","191","185","97","100","425","194","395","2139","94","235","67"
"ENSG00000010310.9","257","314","86","54","259","251","65","5","339","150","35","225","142","509","488","326","155","6","243","465","65"
"ENSG00000010318.21","286","133","286","258","262","201","277","107","355","164","143","230","126","133","198","207","158","290","112","303","480"
"ENSG00000010319.7","736","36","392","262","307","384","372","652","736","310","190","126","588","410","812","457","1112","6378","397","284","1021"
"ENSG00000010322.16","7616","2433","3632","8990","6531","5505","8148","4664","12347","6538","4968","5202","3271","4853","6709","7000","7152","16112","3353","5749","9031"
"ENSG00000010327.10","1378","712","5573","2293","4487","2397","2271","11451","5427","972","485","529","760","1554","7567","1605","3096","34424","992","2880","1075"
"ENSG00000010361.14","962","138","635","259","89","104","240","201","445","462","168","43","175","198","320","416","293","498","209","504","918"
"ENSG00000010379.16","24","0","3","2","8","11","18","9","11","5","1","0","1","2","2","1","0","5","0","34","2"
"ENSG00000010404.18","1370","452","757","1026","769","1047","1898","677","922","812","923","640","190","342","514","427","1108","2350","222","992","673"
"ENSG00000010438.17","5256","82","2495","4273","10443","21623","116","110","6829","6606","3361","5331","67","97","326","143","88","39","172","3656","2169"
"ENSG00000010539.12","552","750","745","275","1195","1900","815","421","656","799","248","481","207","285","399","399","304","939","202","667","964"
"ENSG00000010610.10","917","629","2018","1357","4398","1006","996","2118","3692","473","963","139","384","159","2212","539","418","4228","377","2205","480"
"ENSG00000010626.15","358","278","486","198","259","256","603","170","222","198","124","170","134","169","203","288","160","318","155","350","261"
"ENSG00000010671.16","39","64","133","111","513","90","101","249","694","39","372","53","121","24","380","118","114","356","76","246","40"
"ENSG00000010704.18","395","609","778","438","587","1305","1327","565","667","880","215","70","362","486","700","641","447","1344","390","787","906"
"ENSG00000010803.16","2474","1798","2354","918","2629","5644","4152","2936","4197","2096","773","1377","1621","2098","2129","2757","4054","9610","1668","2616","3727"
"ENSG00000010810.17","1682","412","2647","432","3480","1055","1469","2149","4320","4755","448","425","1017","1180","2007","1311","1754","5913","1020","1633","1514"
"ENSG00000010818.10","8880","3547","4326","6515","7209","6021","8723","6780","6935","2236","5067","3344","1347","1550","2958","1944","4233","10709","1056","4609","5044"
"ENSG00000010932.17","12","294","24","149","320","108","394","254","145","20","82","9","57","17","55","14","32","286","14","97","29"
"ENSG00000011007.12","6583","9216","4416","5627","5318","7280","7358","2956","5917","3767","3741","3653","6218","4999","8797","7177","5364","5958","5585","3487","4725"
"ENSG00000011009.11","5061","11698","6961","4758","4847","6945","4101","3752","9939","5526","3621","4701","1464","2493","2545","1838","1129","1648","1772","3998","5756"
"ENSG00000011021.23","1938","1332","1325","814","1625","3513","3282","937","1751","1250","535","959","567","939","1282","1321","1641","3840","577","1526","2642"
"ENSG00000011028.14","3458","2646","2882","6873","3440","2125","5517","10582","3113","824","5900","5037","871","1883","6584","3236","5939","36452","803","726","1206"
"ENSG00000011052.21","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000011083.9","49","27","27","1","31","116","8","10","68","24","1","1","0","2","3","2","1","0","0","68","29"
"ENSG00000011105.14","799","2079","1009","1351","1889","1436","3999","2567","1958","405","913","1926","512","682","1360","1294","2110","5700","594","892","2247"
"ENSG00000011114.15","4834","2957","3059","5159","4312","4994","6023","2167","4086","5358","3153","2961","1232","2793","2965","2426","2934","7204","1430","3945","10092"
"ENSG00000011132.12","887","743","1288","858","2094","1494","1423","946","1348","1902","769","505","546","575","845","788","667","1040","570","911","1328"
"ENSG00000011143.19","547","533","847","565","938","962","1553","485","843","1521","368","364","303","461","566","687","295","660","363","823","421"
"ENSG00000011198.10","2510","1709","1678","6298","2050","1493","2245","1736","2247","2264","4989","3345","648","1766","1385","1125","1349","6597","1054","1201","1579"
"ENSG00000011201.12","113","275","151","623","145","199","6897","1479","156","32","201","666","82","296","202","239","211","428","85","88","22"
"ENSG00000011243.18","1670","1418","1575","1124","2085","2799","1588","738","1600","1804","927","834","552","815","1138","1273","1030","1682","672","993","848"
"ENSG00000011258.16","3887","1099","2136","1926","3092","4416","4099","857","2162","1536","997","817","848","1470","1988","1956","1135","2133","933","1964","2166"
"ENSG00000011260.14","3378","3840","4105","1233","3430","4436","2142","1026","1702","2936","1078","1765","616","805","800","868","638","1391","538","1065","1267"
"ENSG00000011275.19","2499","2204","4207","2035","6778","9243","4133","2340","3318","3199","1802","1862","1195","1456","2096","1938","2297","6751","1125","2220","5433"
"ENSG00000011295.16","2355","1054","4215","2139","4033","4671","3634","1706","3161","2726","1591","2579","1802","2380","2976","2631","1970","2705","1636","3083","2916"
