"","TCGA-3L-AA1B-01A","TCGA-A6-6653-01A","TCGA-AA-3530-01A","TCGA-AA-3556-01A","TCGA-AA-3858-01A","TCGA-AA-A00D-01A","TCGA-AY-A71X-01A","TCGA-AZ-6599-01A","TCGA-CM-6676-01A","TCGA-D5-6530-01A","TCGA-A6-2678-11A","TCGA-A6-2680-11A","TCGA-A6-5665-11A","TCGA-AA-3511-11A","TCGA-AA-3522-11A","TCGA-AA-3655-11A","TCGA-AA-3660-11A","TCGA-AA-3712-11A","TCGA-AZ-6599-11A","TCGA-AZ-6603-11A"
"ENSG00000166160.9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000166164.16","3337","2017","1157","1754","1126","1505","4130","3092","4207","2830","2765","2813","1542","2719","3200","2541","1738","2054","2411","2441"
"ENSG00000166165.13","8410","10156","6266","3159","9542","395","84709","27842","88543","9459","113703","10818","59125","104411","166272","93746","94229","110159","38596","16469"
"ENSG00000166166.13","1749","732","392","490","1908","700","1801","1280","3688","1097","1136","872","553","1021","1450","1014","709","968","958","1242"
"ENSG00000166167.18","1328","794","685","429","336","537","1537","936","1149","1073","1314","1099","620","1156","1282","808","568","982","1226","1032"
"ENSG00000166169.17","1505","859","709","277","781","489","2230","1089","1092","1493","1252","911","418","831","1295","1138","768","1088","1012","1053"
"ENSG00000166170.10","2695","2035","1219","1643","1086","1541","4011","3256","2435","2431","3294","3313","2076","2462","3655","2190","1632","2397","2800","2391"
"ENSG00000166171.13","678","879","368","236","525","376","1232","367","914","631","390","266","188","359","557","556","343","300","360","445"
"ENSG00000166173.11","674","73","307","31","53","74","210","73","495","58","339","285","136","167","172","298","102","124","332","514"
"ENSG00000166181.13","4209","5204","2343","3777","1936","1946","5062","3648","5258","4087","4861","5215","2843","4412","5854","4358","3201","3536","4387","3362"
"ENSG00000166183.16","32","8","8","60","28","5","104","22","29","175","952","104","467","460","3412","356","467","1070","69","28"
"ENSG00000166188.2","691","384","166","238","302","303","748","557","562","706","709","629","281","557","747","475","295","488","598","672"
"ENSG00000166189.8","1215","1351","657","615","1520","613","2180","1320","1396","1556","1954","1845","966","1459","2155","1559","1194","1378","1605","1248"
"ENSG00000166192.15","125","74","85","63","29","24","178","92","72","101","173","72","102","150","273","169","133","119","160","132"
"ENSG00000166197.17","8031","6461","3667","2164","4935","3941","8398","7908","12089","8202","4182","2719","2379","5353","5489","3311","2099","3437","4347","4351"
"ENSG00000166199.13","843","688","381","634","613","299","670","184","862","764","847","966","547","691","867","837","604","570","593","575"
"ENSG00000166200.15","3405","3309","2010","1800","1060","665","4353","2243","2277","3021","3175","3733","1711","2234","3201","3675","2120","1964","2522","2677"
"ENSG00000166206.15","23","486","2","3","5","212","3","0","269","0","180","142","143","229","138","347","216","158","157","214"
"ENSG00000166211.8","0","0","1","0","0","1","0","0","0","3","0","0","5","6","5","0","1","0","0","2"
"ENSG00000166220.12","0","2","2","0","0","0","0","0","0","0","1","0","0","0","2","0","2","2","1","0"
"ENSG00000166224.17","4589","4387","2227","4029","1301","2723","5307","2610","3444","4192","6403","9757","3748","4803","7371","4141","3240","4373","4635","3144"
"ENSG00000166225.9","1032","785","611","832","362","426","1178","856","1056","895","1526","1493","982","1127","1834","1211","851","1100","1377","996"
"ENSG00000166226.13","8920","9037","5134","6349","5247","4738","10698","7555","13145","7520","5659","4031","3184","6074","6483","6094","4205","4896","5601","4471"
"ENSG00000166228.9","3833","4681","1858","2719","3108","2190","7744","4797","6378","3956","3212","3604","1485","3150","3712","4650","3320","2568","3003","3106"
"ENSG00000166233.15","4100","2832","2081","1733","1055","855","3672","2464","2571","2457","3468","3136","2075","2667","3679","2265","1576","2490","2986","2632"
"ENSG00000166246.14","30","20","10","9","8","12","56","17","26","48","19","19","19","25","32","23","18","21","21","32"
"ENSG00000166250.12","580","320","120","144","191","320","37","42","535","332","1828","2752","639","916","888","1561","466","643","1403","3188"
"ENSG00000166257.9","44","0","8","4","9","7","11","3","14","11","153","150","72","78","74","82","37","62","193","173"
"ENSG00000166260.13","1938","2270","1358","1855","867","565","2610","2072","3958","2118","2602","3406","1892","2083","3085","2203","1833","2011","2590","1405"
"ENSG00000166261.11","1238","360","414","284","525","257","932","744","735","592","540","312","294","454","572","496","315","633","564","489"
"ENSG00000166262.16","220","76","56","62","27","26","155","148","97","110","118","109","57","104","150","177","63","93","58","155"
