"","TCGA-A2-A0CQ-01A","TCGA-A2-A259-01A","TCGA-A7-A0CD-01A","TCGA-AN-A0FF-01A","TCGA-AR-A2LE-01A","TCGA-B6-A0IP-01A","TCGA-BH-A0B0-01A","TCGA-E2-A1IO-01A","TCGA-E9-A1R4-01A","TCGA-LD-A9QF-01A","TCGA-BH-A0BQ-11A","TCGA-BH-A0BS-11A","TCGA-BH-A0DO-11A","TCGA-BH-A0E0-11A","TCGA-BH-A0H9-11A","TCGA-BH-A1FH-11B","TCGA-E2-A1BC-11A","TCGA-E2-A1IG-11A","TCGA-E2-A1L7-11A","TCGA-E9-A1NA-11A","TCGA-E9-A1NG-11A"
"ENSG00000008256.16","824","2019","1832","1245","942","1500","2921","4740","1584","2175","3343","3222","2956","2096","3728","2619","3002","2886","3426","4323","4817"
"ENSG00000008277.14","69","959","690","463","3285","622","372","691","288","246","767","561","941","245","492","398","94","779","640","1027","1213"
"ENSG00000008282.9","9972","9377","8515","9820","29932","13169","6610","7237","3977","7710","7351","11080","10350","5425","5798","7504","5276","5434","7581","7163","7286"
"ENSG00000008283.16","17531","13059","16673","8202","6244","13164","6879","11213","10675","8946","4461","8030","5885","6781","1638","3846","1597","2966","6314","4833","2718"
"ENSG00000008294.21","2733","11806","10610","3427","4737","5622","3153","6491","6611","3932","7128","4887","6490","2684","3222","5528","5299","5708","5297","7327","8621"
"ENSG00000008300.17","588","99","1811","347","721","550","218","1029","446","1392","305","182","263","128","48","92","61","111","195","195","81"
"ENSG00000008311.15","558","1279","811","1045","305","1274","597","466","432","473","1983","1764","1750","885","721","1159","4329","1787","1600","1439","1223"
"ENSG00000008323.15","1455","579","1624","218","555","1099","388","996","345","481","1181","1455","982","702","1819","799","1982","1639","912","2296","1808"
"ENSG00000008324.12","1976","1045","934","813","477","1372","1009","480","513","738","550","860","755","809","499","649","422","404","669","555","469"
"ENSG00000008382.16","845","413","1003","725","413","890","607","531","602","629","211","467","370","547","399","190","318","307","462","440","291"
"ENSG00000008394.13","4447","7701","6788","6500","4388","9119","3967","5139","3414","6589","7482","9361","9015","13887","49937","8821","25715","23430","4827","22075","33091"
"ENSG00000008405.12","1031","3731","2002","1165","1045","2199","1056","1406","1175","915","2338","1934","1331","731","634","2145","568","1400","1983","1659","1749"
"ENSG00000008438.5","1","2","5","2","2","1","3","1","3","2","8","2","1","3","0","8","3","3","1","6","1"
"ENSG00000008441.18","5351","6231","20851","8839","8084","20304","6287","6111","6590","3354","12364","14957","21125","8425","10085","11555","8747","14911","11637","17440","13945"
"ENSG00000008513.16","14327","17548","3183","2518","4056","8202","4481","22215","5044","5178","4086","2605","2728","2593","2405","2642","4511","3451","3282","5566","4249"
"ENSG00000008516.17","49","250","37","46","21","51","135","112","639","356","64","91","86","133","9","265","37","84","128","58","45"
"ENSG00000008517.18","3819","1275","435","1642","361","1778","2598","2054","2742","3982","1579","1546","1354","917","851","1323","425","1094","1849","897","1116"
"ENSG00000008710.20","1838","6694","2433","1875","2698","2809","2134","6850","6816","1969","3275","2683","3880","2133","2194","1887","4107","5039","3573","6777","3897"
"ENSG00000008735.14","5303","1010","3413","3290","1168","1101","1566","1018","1507","350","295","733","426","510","70","220","380","124","340","234","83"
"ENSG00000008838.20","4697","3843","7217","4526","2826","6781","2830","6526","4476","3663","4117","5117","4702","4119","2094","3626","1556","3176","6324","4293","2996"
"ENSG00000008853.17","2053","594","1874","1318","412","2133","1014","1481","1304","1120","774","1112","1360","1061","508","594","703","848","1067","1101","729"
"ENSG00000008869.12","2982","4213","4223","3745","5376","4845","2759","3614","2657","1539","3561","3872","4169","2052","944","1621","2347","2422","3254","3015","2946"
"ENSG00000008952.17","10549","10426","23655","13694","18421","11354","9819","9269","8018","5993","7949","11139","10865","10485","8276","9248","6537","9039","8181","11350","12260"
"ENSG00000008988.11","40950","87743","43749","21833","46341","45883","55334","25896","17266","46244","36767","69661","66064","81970","74008","43062","79957","31926","41449","42299","39468"
"ENSG00000009307.16","27613","48167","44676","29946","37483","55978","49066","33983","35170","25385","43998","59482","60150","42526","46473","38568","37439","46615","36875","61051","65680"
"ENSG00000009335.18","4141","8609","5637","6032","9923","8155","5376","8257","4999","5393","6185","6336","5473","4684","3770","4347","3121","4885","4777","6316","5356"
"ENSG00000009413.16","648","3041","1216","1268","1334","2395","985","2767","1235","761","3426","1685","2924","839","964","2124","1931","2392","2236","3523","3796"
"ENSG00000009694.13","21","73","8","30","19","29","50","120","10","44","291","97","209","74","104","103","130","128","140","140","265"
"ENSG00000009709.12","7","0","0","1","1","5","5","234","5","11","4","1","0","5","6","0","0","0","10","0","1"
"ENSG00000009724.17","82","117","112","57","73","133","96","63","115","41","278","114","314","69","13","76","27","111","83","130","54"
"ENSG00000009765.15","0","107","142","16","67","6","133","25","174","42","57","2","21","43","0","10","0","9","31","10","5"
"ENSG00000009780.16","1036","879","1364","876","784","1318","880","940","735","563","1054","1327","1176","703","613","938","715","1067","884","966","1320"
"ENSG00000009790.15","224","475","114","303","136","320","453","543","699","1146","217","299","315","174","15","143","51","101","279","239","94"
"ENSG00000009830.12","2619","1916","1786","1479","1260","2251","978","2290","1407","822","1738","1788","2146","1905","617","1023","895","1040","1540","1624","981"
"ENSG00000009844.16","1518","5223","2722","1811","2289","4168","1872","3073","2306","1332","2733","3618","2993","2419","1266","2150","1257","1665","2653","2150","2257"
"ENSG00000009950.16","882","216","50","207","23","93","315","34","25","85","522","521","349","550","2588","654","9174","2604","223","2145","2235"
"ENSG00000009954.11","7361","9953","6110","10593","7910","10173","6832","9442","5813","5698","6295","7441","6034","4728","3114","4378","3986","5267","6514","7857","7335"
"ENSG00000010017.13","1536","4352","5618","2537","1698","2844","1281","1585","2878","2252","2002","1755","1994","1822","1378","1714","2321","1767","1971","1928","2148"
"ENSG00000010030.14","297","267","422","655","90","575","518","153","958","609","147","190","134","75","34","114","13","73","370","99","62"
"ENSG00000010072.16","1202","1060","1075","1759","538","1286","757","733","685","541","780","918","889","516","280","680","205","493","646","572","615"
"ENSG00000010165.20","2432","2690","5494","4327","3102","4901","3016","2746","3471","1992","1577","3173","2180","2345","1625","1417","1169","1669","2333","2550","1721"
"ENSG00000010219.13","1408","680","1104","623","266","1066","953","453","411","782","775","1002","782","907","343","597","311","415","690","513","347"
"ENSG00000010244.19","9308","12534","12577","7910","6667","11133","5948","5985","6504","7668","8127","7092","7862","5481","2758","5342","2841","4560","6661","5364","4655"
"ENSG00000010256.11","11448","8020","13542","8956","5396","12926","8691","3890","5192","6324","4848","8901","6035","10190","7851","4513","6772","4984","6170","6467","4768"
"ENSG00000010270.14","1472","1722","1270","1752","1039","1374","1518","2420","3197","1622","1498","1795","1393","1472","1392","1768","956","1117","1475","1575","1604"
"ENSG00000010278.15","29246","25369","40836","21543","18872","33195","21204","14585","7364","18640","13835","21101","16283","16078","3817","14721","1901","6972","11591","10313","7684"
"ENSG00000010282.15","2","0","0","1","1","5","2","0","3","2","52","318","243","13","18","13","9","5","12","51","1"
"ENSG00000010292.13","4461","2518","5439","3466","4167","6921","3679","6839","2418","3052","3367","4409","4683","3627","1044","2278","1298","2432","3517","3262","1866"
"ENSG00000010295.20","518","434","294","530","260","515","718","882","824","1586","389","437","535","449","843","570","631","503","754","909","979"
"ENSG00000010310.9","805","106","114","185","609","219","51","150","163","207","80","129","149","58","59","46","57","66","71","169","97"
"ENSG00000010318.21","484","395","605","285","527","419","225","141","314","200","273","402","516","194","218","268","229","289","317","356","385"
"ENSG00000010319.7","1516","4356","1703","2144","3573","1420","2293","1749","983","1710","2539","5992","4041","3624","14403","4231","9142","13508","5781","14916","32072"
"ENSG00000010322.16","6011","7512","10595","7532","5106","10075","5594","5518","4277","4353","7999","10556","10123","6642","3907","5164","3744","6312","9904","8580","4981"
"ENSG00000010327.10","3139","3109","2896","3830","1650","1604","2563","3055","6309","3004","2523","1316","1865","860","3350","5349","2377","5125","7736","15668","10597"
"ENSG00000010361.14","1796","890","1209","973","426","1195","681","1754","787","450","601","1041","801","1026","592","557","676","556","949","750","428"
"ENSG00000010379.16","2","4","2","2","11","3","4","3","1","4","7","1","3","7","6","4","1","1","3","0","2"
"ENSG00000010404.18","127","820","459","221","393","353","355","643","2484","293","418","358","525","263","184","367","178","363","405","659","485"
"ENSG00000010438.17","5","14","1","7","0","7","0","4","2","1","22","22","20","29","0","5","13","6","10","0","1"
"ENSG00000010539.12","714","940","938","671","692","1031","684","708","1654","439","413","631","513","421","336","358","205","269","463","487","395"
"ENSG00000010610.10","3775","3959","1837","6358","1151","2322","5045","3975","8483","10921","2517","2271","2385","1381","1612","3481","669","2266","3968","4701","5043"
"ENSG00000010626.15","1847","442","1369","404","482","453","757","763","270","477","445","651","538","850","298","275","185","389","478","452","370"
"ENSG00000010671.16","653","885","279","836","167","532","548","480","965","1059","247","320","235","138","117","433","85","243","384","593","592"
"ENSG00000010704.18","949","715","1293","1862","430","2145","505","603","1477","881","1239","1299","1285","597","383","1012","340","863","1140","1190","1058"
"ENSG00000010803.16","4198","3040","2386","2309","1556","4637","2777","2310","1644","1256","2877","3311","3459","2140","1815","2304","2228","2080","2884","3504","2273"
"ENSG00000010810.17","848","2261","1255","1163","878","1498","2763","2662","1411","3099","2258","1724","2262","1409","3872","3146","3073","2279","2216","3556","6052"
"ENSG00000010818.10","525","6129","1519","1181","888","1548","1880","2972","2369","1383","4667","2654","2526","999","1008","2330","1228","2533","2483","3260","4330"
"ENSG00000010932.17","149","170","44","501","171","118","112","2785","218","420","1459","352","906","583","147","563","128","557","807","601","282"
"ENSG00000011007.12","2675","4463","3191","3541","2788","3893","3324","3266","2608","1731","2841","3012","3221","2374","2110","2021","5530","2815","2980","3676","3101"
"ENSG00000011009.11","5310","3798","3509","3654","1913","6059","4299","3699","2865","2856","2214","3368","2265","3564","1495","1818","978","1485","2683","2456","1378"
"ENSG00000011021.23","1271","1430","1319","877","1266","1319","837","1387","1472","749","1618","1918","2162","941","889","1267","1385","1389","1581","2111","1674"
"ENSG00000011028.14","4399","5261","3948","8577","3212","6207","15672","22962","9164","11706","5451","3835","5229","8836","6589","7729","2649","6747","7496","8477","8849"
"ENSG00000011052.21","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000011083.9","74","4","0","3","6","2","44","6","4","63","7","2","2","7","2","9","0","4","3","2","3"
"ENSG00000011105.14","10067","5121","4648","4842","2881","9790","9059","11736","2293","4684","3541","6410","4119","4775","5366","3083","2270","3670","5253","5534","4391"
"ENSG00000011114.15","1879","4163","3255","2196","2836","5072","2472","4746","1945","1421","3066","3590","3869","1811","1201","2117","1325","2229","2535","3580","2567"
"ENSG00000011132.12","940","629","636","675","473","1179","702","811","566","889","387","715","526","772","532","382","315","414","701","668","396"
"ENSG00000011143.19","1489","981","1552","896","563","1630","508","1146","1148","546","762","1264","1082","893","421","606","408","563","1033","773","429"
"ENSG00000011198.10","2065","3580","3212","1576","1236","3231","1581","1157","1760","1451","2610","2824","2914","2495","4272","2427","6343","3274","2641","3903","3891"
"ENSG00000011201.12","4557","1120","7797","603","2376","1225","1601","1822","1973","748","1261","1720","1596","733","577","889","571","1282","1311","1338","1467"
"ENSG00000011243.18","1965","2193","2325","1807","1887","2103","1154","2628","1682","1340","1284","1868","1435","1408","796","746","806","882","1666","1255","992"
"ENSG00000011258.16","1301","2954","3279","1349","1910","2994","732","2810","1919","987","2040","2495","3196","1166","539","1208","1135","1274","1839","1593","1323"
"ENSG00000011260.14","2019","4618","4953","1790","1831","2861","1374","1525","2280","1940","1930","2567","2026","1581","617","1507","649","905","1845","1391","1299"
"ENSG00000011275.19","3291","4536","2832","2587","2052","4914","3159","4560","5046","3296","3600","4648","4107","2890","1948","2742","1736","2693","4430","4023","3027"
"ENSG00000011295.16","4272","3757","3352","3580","2204","7702","2253","1836","2289","1654","4535","6049","5336","4097","1612","3728","1489","2392","3507","2903","2229"
