"EnsemblID","GeneSymbol","Total_DEG","Total_Up","Total_Dn","RRA_Score_pvalue","padj","Rank","Category","log_p"
"ENSG00000107611.16","CUBN",3,1,2,0.0736209264709365,1,135,"Not_Significant",0
"ENSG00000237494.1","AL360007.1",1,0,1,0.0736209264709365,1,136,"Not_Significant",0
"ENSG00000162460.7","TMEM82",2,0,2,0.07526429905966,1,137,"Not_Significant",0
"ENSG00000166819.12","PLIN1",2,0,2,0.0775466540288904,1,138,"Not_Significant",0
"ENSG00000131096.10","PYY",2,0,2,0.0788461901853099,1,139,"Not_Significant",0
"ENSG00000259916.1","AL845331.1",1,0,1,0.0788461901853099,1,140,"Not_Significant",0
"ENSG00000253959.1","LINC01863",2,1,1,0.0788461901853099,1,141,"Not_Significant",0
"ENSG00000160188.10","RSPH1",3,2,1,0.0788461901853099,1,142,"Not_Significant",0
"ENSG00000206172.8","HBA1",2,0,2,0.0814193361200858,1,143,"Not_Significant",0
"ENSG00000258604.1","AL161668.4",2,0,2,0.0814193361200858,1,144,"Not_Significant",0
"ENSG00000109794.13","FAM149A",3,0,3,0.0822698317112189,1,145,"Not_Significant",0
"ENSG00000179520.11","SLC17A8",1,0,1,0.0840670191334102,1,146,"Not_Significant",0
"ENSG00000134548.11","SPX",2,0,2,0.0840670191334102,1,147,"Not_Significant",0
"ENSG00000042781.14","USH2A",2,1,1,0.0840670191334102,1,148,"Not_Significant",0
"ENSG00000152611.12","CAPSL",2,1,1,0.0840670191334102,1,149,"Not_Significant",0
"ENSG00000267132.1","HMGB3P27",1,0,1,0.0840670191334102,1,150,"Not_Significant",0
"ENSG00000189292.16","ALKAL2",4,1,3,0.0869844328454069,1,151,"Not_Significant",0
"ENSG00000246022.3","ALDH1L1-AS2",2,0,2,0.08928341613873,1,152,"Not_Significant",0
"ENSG00000251443.2","LINC02160",1,0,1,0.08928341613873,1,153,"Not_Significant",0
"ENSG00000230873.9","STMND1",2,1,1,0.08928341613873,1,154,"Not_Significant",0
"ENSG00000184608.9","FAM167A-AS1",1,0,1,0.08928341613873,1,155,"Not_Significant",0
"ENSG00000181234.9","TMEM132C",2,0,2,0.0894202945897189,1,156,"Not_Significant",0
"ENSG00000169760.17","NLGN1",3,1,2,0.0902389881514959,1,157,"Not_Significant",0
"ENSG00000118271.12","TTR",1,0,1,0.0944953840235637,1,158,"Not_Significant",0
"ENSG00000173702.7","MUC13",3,2,1,0.0944953840235637,1,159,"Not_Significant",0
"ENSG00000239571.1","IGKV2D-30",2,0,2,0.09860999492672,1,160,"Not_Significant",0
"ENSG00000060566.14","CREB3L3",2,1,1,0.0997029256090069,1,161,"Not_Significant",0
"ENSG00000278965.1","AC122713.2",1,0,1,0.0997029256090069,1,162,"Not_Significant",0
"ENSG00000131050.11","BPIFA2",1,0,1,0.0997029256090069,1,163,"Not_Significant",0
"ENSG00000253105.6","AP003548.1",1,0,1,0.0997029256090069,1,164,"Not_Significant",0
"ENSG00000158571.11","PFKFB1",2,0,2,0.100324100843406,1,165,"Not_Significant",0
"ENSG00000248309.7","MEF2C-AS1",3,0,3,0.100751887079059,1,166,"Not_Significant",0
"ENSG00000279026.1","AC005225.4",3,0,3,0.101188698343774,1,167,"Not_Significant",0
"ENSG00000172137.19","CALB2",3,1,2,0.102920015660588,1,168,"Not_Significant",0
"ENSG00000124440.16","HIF3A",2,0,2,0.104906043714957,1,169,"Not_Significant",0
"ENSG00000230645.2","LINC01818",1,0,1,0.104906043714957,1,170,"Not_Significant",0
"ENSG00000270765.6","GAS2L2",1,0,1,0.104906043714957,1,171,"Not_Significant",0
"ENSG00000174514.13","MFSD4A",2,1,1,0.104906043714957,1,172,"Not_Significant",0
"ENSG00000166831.9","RBPMS2",3,0,3,0.105545519952066,1,173,"Not_Significant",0
"ENSG00000164849.10","GPR146",4,0,4,0.110046659011151,1,174,"Not_Significant",0
"ENSG00000139144.11","PIK3C2G",1,0,1,0.110104741160114,1,175,"Not_Significant",0
"ENSG00000236267.1","AP006216.2",1,0,1,0.110104741160114,1,176,"Not_Significant",0
"ENSG00000012223.13","LTF",1,0,1,0.110104741160114,1,177,"Not_Significant",0
"ENSG00000132855.5","ANGPTL3",1,0,1,0.110104741160114,1,178,"Not_Significant",0
"ENSG00000262097.2","LINC02185",3,0,3,0.113419383573902,1,179,"Not_Significant",0
"ENSG00000164188.9","RANBP3L",2,0,2,0.113598249915084,1,180,"Not_Significant",0
"ENSG00000177133.11","PRDM16-DT",2,0,2,0.11529902076198,1,181,"Not_Significant",0
"ENSG00000286322.1","AL356218.2",1,0,1,0.11529902076198,1,182,"Not_Significant",0
"ENSG00000224273.2","AC005077.2",1,0,1,0.11529902076198,1,183,"Not_Significant",0
"ENSG00000103089.9","FA2H",2,1,1,0.11529902076198,1,184,"Not_Significant",0
"ENSG00000124253.11","PCK1",2,0,2,0.115423391355298,1,185,"Not_Significant",0
"ENSG00000123243.15","ITIH5",3,1,2,0.117261410695424,1,186,"Not_Significant",0
